no,category,word,part of speech,cefr,meaning,oxford,academic,ielts
1,A,abandon,verb,B2,ละทิ้ง ไม่สนใจ,1,1,1
2,A,abate,verb,C1,ลดลง บรรเทา ระงับ,0,0,1
3,A,ability,noun,A2,ความสามารถ,1,0,0
4,A,able,adjective,A2,สามารถ,1,0,0
5,A,abolish,verb,C1,เลิกล้ม ระงับ,0,0,0
6,A,abortion,noun,C1,การทำแท้ง,0,0,0
7,A,about,adverb,A1,เกี่ยวกับ,1,0,0
8,A,above,adverb,A1,ข้างบน,1,0,0
9,A,abroad,adverb,A2,ต่างประเทศ,1,0,0
10,A,abrupt,adjective,C1,ฉับพลัน ทันทีทันใด,0,0,1
11,A,absence,noun,C1,การไม่อยู่,0,0,0
12,A,absent,adjective,C1,ไม่อยู่ ลาหยุด,0,0,0
13,A,absolute,adjective,B2,สมบูรณ์ เด็ดขาด อย่างแท้จริง,1,0,0
14,A,absolutely,adverb,B1,อย่างแน่นอน,1,0,0
15,A,absorb,verb,B2,"รับเอา, ดูดซึม",0,0,0
16,A,abstract,adjective,B2,เชิงนามธรรม,0,1,1
17,A,absurd,adjective,C1,ไร้สาระ,0,0,0
18,A,abundance,noun,C1,ความอุดมสมบูรณ์,0,0,0
19,A,abuse,noun,C1,ข่มเหง สบประมาท,0,0,0
20,A,academic,adjective,B1,เชิงวิชาการ,1,1,0
21,A,academy,noun,C1,สถาบันการศึกษา,0,0,0
22,A,accelerate,verb,C1,เร่งความเร็ว,0,0,0
23,A,accent,noun,B2,เน้น,0,0,0
24,A,accept,verb,A2,ยอมรับ,1,0,0
25,A,acceptable,adjective,B2,ยอมรับได้,1,0,0
26,A,acceptance,noun,C1,การยอมรับ,0,0,0
27,A,access,noun,B1,ทางเข้า,1,1,1
28,A,accessible,adjective,C1,เข้าถึงได้,0,0,0
29,A,accident,noun,A2,อุบัติเหตุ บังเอิญ,1,0,0
30,A,accidentally,adverb,B2,โดยบังเอิญ,0,0,0
31,A,accommodate,verb,B2,รองรับ,0,0,0
32,A,accommodation,noun,B1,การตกลงกัน การปรับตัว เงินกู้ยืม ที่พัก,1,1,1
33,A,accompany,verb,B2,มากับ ประกอบ,1,0,1
34,A,accomplish,verb,B2,ทำสำเร็จ,0,0,0
35,A,accomplishment,noun,C1,ความสำเร็จ,0,0,0
36,A,accordance,noun,C1,ความตกลง การทำให้สอดคล้อง,0,0,0
37,A,according to,preposition,A2,ตาม,1,0,0
38,A,accordingly,adverb,C1,ดังนั้น,0,0,0
39,A,account,noun,B1,บัญชี เรื่องราว เหตุ คำอธิบาย ความเห็น,1,0,0
40,A,accountability,noun,C1,ความรับผิดชอบ,0,0,0
41,A,accountable,adjective,C1,รับผิดชอบได้,0,0,0
42,A,accountant,noun,B2,นักบัญชี,0,0,0
43,A,accumulate,verb,C1,สะสม,0,0,0
44,A,accumulation,noun,C1,การเก็บสะสม,0,1,1
45,A,accuracy,noun,B2,ความแม่นยำ,0,0,0
46,A,accurate,adjective,B2,ถูกต้อง ระมัดระวัง,1,1,1
47,A,accurately,adverb,B2,อย่างถูกต้อง,0,0,0
48,A,accusation,noun,C1,การกล่าวหา,0,0,0
49,A,accuse,verb,B2,กล่าวหา,1,0,0
50,A,accused,noun,C1,ผู้ถูกกล่าวหา,0,0,0
51,A,achieve,verb,A2,สำเร็จ,1,1,1
52,A,achievement,noun,B1,ความสำเร็จ,1,0,0
53,A,acid,adjective,C1,กรด,0,0,0
54,A,acknowledge,verb,B2,รับทราบ,1,0,1
55,A,acquire,verb,B2,ได้รับ,1,0,0
56,A,acquisition,noun,C1,การได้มา,0,1,1
57,A,acre,noun,C1,เอเคอร์,0,0,0
58,A,across,adverb,A1,ข้าม,1,0,0
59,A,act,noun,B1,กระทำ,1,0,0
60,A,action,noun,A1,การกระทำ,1,0,0
61,A,activate,verb,B2,เปิดใช้งาน,0,0,0
62,A,activation,noun,C1,การเปิดใช้งาน,0,0,0
63,A,active,adjective,A2,คล่องแคล่ว,1,0,0
64,A,activist,noun,C1,นักเคลื่อนไหว,0,0,0
65,A,activity,noun,A1,กิจกรรม,1,0,1
66,A,actor,noun,A1,นักแสดงชาย,1,0,0
67,A,actress,noun,A1,นักแสดงหญิง,1,0,0
68,A,actual,adjective,B2,แท้จริง,1,0,0
69,A,actually,adverb,A2,จริงๆ แล้ว,1,0,0
70,A,acute,adjective,C1,เฉียบแหลม,0,0,0
71,A,ad,noun,B1,คำโฆษณา,1,0,0
72,A,adapt,verb,B2,ปรับตัว,1,0,0
73,A,adaptation,noun,C1,การปรับตัว,0,1,1
74,A,add,verb,A1,เพิ่ม,1,0,0
75,A,addiction,noun,B2,การติดยาเสพติด,0,0,0
76,A,addition,noun,B1,การเพิ่ม,1,0,0
77,A,additional,adjective,B2,เพิ่มเติม,1,0,0
78,A,additionally,adverb,B2,นอกจากนี้,0,0,0
79,A,address,noun,A1,ที่อยู่,1,0,0
80,A,adequate,adjective,B2,พอเพียง เหมาะสม,0,1,1
81,A,adequately,adverb,B2,อย่างเพียงพอ,0,0,0
82,A,adhere,verb,C1,ติด ยึดมั่น,0,0,0
83,A,adjacent,adjective,C1,ใกล้เคียง,0,1,1
84,A,adjust,verb,B2,ปรับ,0,0,1
85,A,adjustment,noun,C1,การปรับ,0,1,0
86,A,administer,verb,C1,ดูแล,0,0,0
87,A,administration,noun,B2,การบริหาร,1,1,1
88,A,administrative,adjective,C1,เกี่ยวกับการบริหาร,0,0,0
89,A,administrator,noun,C1,ผู้ดูแลระบบ,0,0,0
90,A,admire,verb,B1,นับถือ,1,0,0
91,A,admission,noun,C1,การรับเข้า,0,0,0
92,A,admit,verb,B1,รับเข้า,1,0,0
93,A,adolescent,noun,C1,วัยหนุ่มสาว,0,0,0
94,A,adopt,verb,B2,นำมาใช้ รับเอา เลี้ยงเป็นลูก,1,0,0
95,A,adoption,noun,C1,การรับเป็นบุตรบุญธรรม,0,0,0
96,A,adult,adjective,A2,ผู้ใหญ่,1,0,1
97,A,advance,adjective,B2,ก้าวหน้า,1,0,1
98,A,advanced,adjective,B1,ขั้นสูง,1,0,0
99,A,advantage,noun,A2,ความได้เปรียบ ให้ประโยชน์,1,0,0
100,A,adventure,noun,A2,การผจญภัย,1,0,0
101,A,adverse,adjective,C1,ซึ่งเป็นอันตราย,0,0,0
102,A,advertise,verb,A2,แจ้งความ โฆษณา ประกาศ,1,0,0
103,A,advertisement,noun,A2,โฆษณา,1,0,0
104,A,advertising,noun,A2,การโฆษณา,1,0,0
105,A,advice,noun,A1,คำแนะนำ ความประพฤติ รายงาน,1,0,0
106,A,advise,verb,B1,แนะนำ บอกข่าว,1,0,0
107,A,advocate,noun,C1,ทนาย ผู้ให้ การสนับสนุน สนับสนุน,0,1,1
108,A,aesthetic,adjective,C1,เกี่ยวกับความงาม,0,0,0
109,A,affair,noun,B2,การงาน ธุรกิจ เหตุการณ์ เรื่องรักใคร่ งานชุมนุม,1,0,0
110,A,affect,verb,A2,ส่งผลต่อ กระทบ กระเทือน,1,1,1
111,A,affection,noun,C1,ความรัก,0,0,0
112,A,afford,verb,B1,จัดให้มี,1,0,0
113,A,affordable,adjective,B2,ซื้อได้,0,0,0
114,A,afraid,adjective,A1,เกรงกลัว,1,0,0
115,A,after,adverb,A2,หลังจาก,1,0,0
116,A,aftermath,noun,C1,ควันหลง,0,0,0
117,A,afternoon,noun,A1,ตอนบ่าย,1,0,0
118,A,afterwards,adverb,B2,หลังจากนั้น,1,0,0
119,A,again,adverb,A1,อีกครั้ง,1,0,0
120,A,against,preposition,A2,ตรงกันข้าม,1,0,0
121,A,age,noun,A1,อายุ,1,0,0
122,A,aged,adjective,B1,อายุมากขึ้น,1,0,0
123,A,agency,noun,B2,หน่วยงาน,1,0,0
124,A,agenda,noun,B2,กำหนดการ,1,0,0
125,A,agent,noun,B1,ตัวแทน,1,0,0
126,A,aggregate,verb,C1,รวบรวม สรุป,0,0,1
127,A,aggression,noun,C1,การรุกราน,0,0,0
128,A,aggressive,adjective,B2,รุกราน ก้าวร้าว,1,0,0
129,A,ago,adverb,A1,ที่ผ่านมา,1,0,0
130,A,agree,verb,A1,เห็นด้วย,1,0,0
131,A,agreement,noun,B1,การตกลง การยินยอม,1,0,0
132,A,agricultural,adjective,C1,เกี่ยวกับการเกษตร,0,0,0
133,A,agriculture,noun,B2,เกษตรกรรม,0,0,0
134,A,ahead,adverb,B1,ข้างหน้า,1,0,0
135,A,aid,noun,B2,การช่วยเหลือ,1,1,1
136,A,aide,noun,C1,ผู้ช่วย,0,0,0
137,A,AIDS,noun,B2,เอดส์,0,0,0
138,A,aim,noun,B1,จุดมุ่งหมาย,1,0,0
139,A,air,noun,A1,อากาศ,1,0,0
140,A,aircraft,noun,B2,อากาศยาน,1,0,0
141,A,airline,noun,A2,สายการบิน,1,0,0
142,A,airport,noun,A1,สนามบิน,1,0,0
143,A,alarm,noun,B1,เตือน,1,0,0
144,A,albeit,conjunction,C1,แม้ว่า,0,1,1
145,A,album,noun,B1,อัลบั้ม,1,0,0
146,A,alcohol,noun,B1,แอลกอฮอล์,1,0,0
147,A,alcoholic,adjective,B1,เกี่ยวกับแอลกอฮอล์,1,0,0
148,A,alert,adjective,C1,เตือน,0,0,0
